day,q00,q11,r,h,rmse,hit,pnl,pos
-1,0.2,0.001,2.0,12,1.578108811527814,0.3825851811790157,79961.5,80
-1,0.2,0.001,2.0,15,1.630881435582473,0.37230935640886964,79683.0,80
-1,0.2,0.001,2.0,20,1.7378822980461772,0.3594375338020552,79426.5,80
-1,0.2,0.001,2.0,25,1.8676052807466952,0.35694970254191455,79375.0,80
-1,0.2,0.001,4.0,10,1.4651415207710252,0.4062736614386155,80089.5,80
-1,0.2,0.001,4.0,12,1.499441692674268,0.3900486749594375,80067.0,80
-1,0.2,0.001,4.0,15,1.5375219713734476,0.38085451595457004,79959.5,80
-1,0.2,0.001,4.0,20,1.6194427561311608,0.3679826933477555,79578.5,80
-1,0.2,0.001,4.0,25,1.720336182830691,0.3607355327203894,79381.5,80
-1,0.2,0.001,8.0,10,1.4144825190653798,0.41968631692806924,80144.5,80
-1,0.2,0.001,8.0,12,1.4398864352758491,0.4018388318009735,80055.5,80
-1,0.2,0.001,8.0,15,1.4672873567768119,0.386046511627907,79999.5,80
-1,0.2,0.001,8.0,20,1.5297746417564677,0.37577068685776094,79794.5,80
-1,0.2,0.001,8.0,25,1.6071515600267396,0.366901027582477,79441.5,80
-1,0.2,0.005,1.0,10,1.9385809272258991,0.3501352082206598,79322.0,80
-1,0.2,0.005,1.0,12,2.0759553726716313,0.3442942130881558,79250.5,80
-1,0.2,0.005,1.0,15,2.264013766037833,0.33672255273120605,79129.5,80
-1,0.2,0.005,1.0,20,2.603216305926511,0.3288263926446728,78681.0,80
-1,0.2,0.005,1.0,25,2.9787602203871324,0.32266089778258517,78409.5,80
-1,0.2,0.005,2.0,10,1.7769922882307796,0.36982152514872907,79560.0,80
-1,0.2,0.005,2.0,12,1.882366743778441,0.3605191995673337,79393.0,80
-1,0.2,0.005,2.0,15,2.02306354382985,0.3525148729042726,79310.5,80
-1,0.2,0.005,2.0,20,2.2851592238605316,0.34872904272579774,79229.0,80
-1,0.2,0.005,2.0,25,2.581447890093475,0.344835045970795,79200.0,80
-1,0.2,0.005,4.0,10,1.6495665911630681,0.3866955110870741,79918.0,80
-1,0.2,0.005,4.0,12,1.7281770909616585,0.3762033531638724,79732.0,80
-1,0.2,0.005,4.0,15,1.8305045036685879,0.36354786371011355,79453.5,80
-1,0.2,0.005,4.0,20,2.028847654728939,0.35532720389399675,79345.0,80
-1,0.2,0.005,4.0,25,2.2581277818275187,0.35294753921038396,79296.0,80
-1,0.2,0.005,8.0,10,1.5518014702280336,0.3980530016224986,80106.5,80
-1,0.2,0.005,8.0,12,1.6092413547285824,0.3858301784748513,80006.5,80
-1,0.2,0.005,8.0,15,1.6820885731038258,0.37512168739859386,79741.5,80
-1,0.2,0.005,8.0,20,1.829759407160762,0.36203353163872365,79416.5,80
-1,0.2,0.005,8.0,25,2.0039148831324303,0.35651703623580316,79344.5,80
-1,0.2,0.01,1.0,10,2.1802347896896648,0.3189832341806382,78838.5,80
-1,0.2,0.01,1.0,12,2.3753220636011445,0.3118442401297999,78455.0,80
-1,0.2,0.01,1.0,15,2.65033533231418,0.3047052460789616,78048.0,80
-1,0.2,0.01,1.0,20,3.1352170623705184,0.297782585181179,77748.0,80
-1,0.2,0.01,1.0,25,3.658900597637784,0.29399675500270417,77605.0,80
-1,0.2,0.01,2.0,10,1.961823003025468,0.34916170903190913,79243.5,80
-1,0.2,0.01,2.0,12,2.1121776143512148,0.34159004867495946,79137.5,80
-1,0.2,0.01,2.0,15,2.3200235434809175,0.3341265548945376,78999.0,80
-1,0.2,0.01,2.0,20,2.695966377362238,0.32374256354786374,78508.5,80
-1,0.2,0.01,2.0,25,3.1094812653657886,0.31833423472147104,78191.5,80
-1,0.2,0.01,4.0,10,1.788293038572335,0.37025419145484045,79615.5,80
-1,0.2,0.01,4.0,12,1.9009201136988483,0.36127636560302867,79404.0,80
-1,0.2,0.01,4.0,15,2.05341437518749,0.35143320713899406,79287.0,80
-1,0.2,0.01,4.0,20,2.338509556912124,0.34548404542996214,79184.0,80
-1,0.2,0.01,4.0,25,2.6589816286907406,0.34223904813412653,79054.0,80
-1,0.2,0.01,8.0,10,1.654359482326057,0.38756084369929694,79974.0,80
-1,0.2,0.01,8.0,12,1.7367508649681016,0.37739318550567874,79737.0,80
-1,0.2,0.01,8.0,15,1.8458390713195698,0.3660356949702542,79464.0,80
-1,0.2,0.01,8.0,20,2.0579877124631647,0.3547863710113575,79302.0,80
-1,0.2,0.01,8.0,25,2.3019150936626884,0.35294753921038396,79288.0,80
-1,0.2,0.05,1.0,10,3.145843306148738,0.2358031368307193,76169.0,80
-1,0.2,0.05,1.0,12,3.558655606228947,0.23244997295835587,75932.5,80
-1,0.2,0.05,1.0,15,4.163152829042057,0.22877230935640888,75775.0,80
-1,0.2,0.05,1.0,20,5.190726210020147,0.22303948080043268,75591.0,80
-1,0.2,0.05,1.0,25,6.25785013604643,0.22120064899945915,75476.5,80
-1,0.2,0.05,2.0,10,2.704932125020067,0.2704164413196322,77117.0,80
-1,0.2,0.05,2.0,12,3.0277271842975853,0.2631692806922661,76869.5,80
-1,0.2,0.05,2.0,15,3.49478140389107,0.25484045429962143,76621.5,80
-1,0.2,0.05,2.0,20,4.298440585328927,0.24835045970795025,76349.0,80
-1,0.2,0.05,2.0,25,5.141361230682932,0.2454299621416982,76104.0,80
-1,0.2,0.05,4.0,10,2.350089181716723,0.3079502433747972,78130.5,80
-1,0.2,0.05,4.0,12,2.596657935958552,0.2988642509464575,77779.5,80
-1,0.2,0.05,4.0,15,2.9486834763928202,0.2897782585181179,77408.0,80
-1,0.2,0.05,4.0,20,3.5653248633620773,0.27885343428880477,77103.0,80
-1,0.2,0.05,4.0,25,4.221204554332568,0.27474310438074634,76921.0,80
-1,0.2,0.05,8.0,10,2.0729802884496555,0.34072471606273663,79084.5,80
-1,0.2,0.05,8.0,12,2.2570151421412925,0.3307733910221741,78854.0,80
-1,0.2,0.05,8.0,15,2.5159090564467608,0.31952406706327746,78429.0,80
-1,0.2,0.05,8.0,20,2.9807623175343623,0.3085992428339643,77932.0,80
-1,0.2,0.05,8.0,25,3.484504688902212,0.3028664142779881,77675.0,80
-1,0.2,0.1,1.0,10,3.803175865307786,0.21362898864250945,75116.5,80
-1,0.2,0.1,1.0,12,4.35598940971574,0.21114115738236885,75017.5,80
-1,0.2,0.1,1.0,15,5.173511725227674,0.20822065981611682,74830.0,80
-1,0.2,0.1,1.0,20,6.551399725869444,0.20627366143861547,74714.5,80
